Zip,Meals
5601,74
5602,74
5603,74
5604,74
5609,74
5620,74
5633,74
5640,74
5641,74
5647,74
5648,74
5649,74
5650,74
5651,74
5652,86
5653,86
5654,74
5655,86
5656,86
5657,86
5658,74
5660,74
5661,86
5662,86
5663,74
5664,74
5665,86
5666,74
5667,74
5669,68
5669,74
5670,74
5671,74
5672,86
5673,74
5674,74
5675,68
5676,86
5676,74
5677,74
5678,74
5679,68
5680,86
5681,74
5682,74
5701,68
5702,68
5730,68
5731,68
5732,68
5733,68
5734,68
5735,68
5736,68
5737,68
5738,68
5739,68
5740,68
5741,68
5742,68
5743,68
5744,68
5745,68
5746,86
5747,68
5748,68
5750,68
5751,68
5753,68
5757,68
5758,68
5759,68
5760,68
5761,68
5762,68
5762,86
5763,68
5764,68
5765,68
5766,68
5767,68
5767,86
5768,86
5769,68
5770,68
5772,86
5773,68
5774,68
5775,68
5776,86
5777,68
5778,68
5819,68
5820,68
5821,68
5822,68
5823,68
5824,68
5825,68
5826,68
5827,68
5828,68
5829,68
5830,68
5832,68
5833,68
5836,68
5837,68
5838,68
5839,68
5840,68
5841,68
5842,68
5843,68
5845,68
5846,68
5847,68
5847,86
5848,68
5849,68
5850,68
5851,68
5853,68
5855,68
5857,68
5858,68
5859,68
5860,68
5861,68
5862,68
5863,68
5866,68
5867,68
5868,68
5871,68
5872,68
5873,68
5874,68
5875,68
5901,68
5902,68
5903,68
5904,68
5905,68
5906,68
5907,68
6001,80
6002,80
6006,80
6010,80
6011,80
6013,80
6016,80
6018,68
6019,80
6020,80
6021,68
6022,80
6023,80
6024,68
6025,80
6026,80
6027,80
6028,80
6029,68
6030,80
6031,68
6032,80
6033,80
6034,80
6035,80
6037,80
6039,68
6040,68
6040,80
6041,80
6042,68
6042,80
6043,68
6043,80
6045,80
6050,80
6051,80
6052,80
6053,80
6057,68
6058,68
6059,80
6060,80
6061,68
6062,80
6063,68
6064,80
6065,68
6066,68
6067,80
6068,68
6069,68
6070,80
6071,68
6072,68
6073,80
6074,80
6075,68
6076,68
6077,68
6078,80
6079,68
6080,80
6081,80
6082,80
6083,80
6084,68
6084,80
6085,80
6088,80
6089,80
6090,80
6091,80
6092,80
6093,80
6094,68
6095,80
6096,80
6098,68
6101,80
6102,80
6103,80
6104,80
6105,80
6106,80
6107,80
6108,80
6109,80
6110,80
6111,80
6112,80
6114,80
6115,80
6117,80
6118,80
6119,80
6120,80
6123,80
6126,80
6127,80
6128,80
6129,80
6131,80
6132,80
6133,80
6134,80
6137,80
6138,80
6140,80
6141,80
6142,80
6143,80
6144,80
6145,80
6146,80
6147,80
6150,80
6151,80
6152,80
6153,80
6154,80
6155,80
6156,80
6160,80
6161,80
6167,80
6176,80
6180,80
6183,80
6199,80
6226,68
6230,68
6231,68
6231,86
6232,68
6233,68
6234,68
6235,68
6237,68
6238,68
6239,68
6241,68
6242,68
6243,68
6244,68
6245,68
6246,68
6247,68
6248,68
6249,86
6250,68
6251,68
6254,86
6255,68
6256,68
6258,68
6259,68
6260,68
6262,68
6263,68
6264,68
6265,68
6266,68
6267,68
6268,68
6269,68
6277,68
6278,68
6279,68
6280,68
6281,68
6282,68
6320,86
6330,68
6330,86
6331,68
6332,68
6333,86
6334,86
6335,86
6336,86
6338,86
6339,86
6340,86
6349,86
6350,86
6351,86
6353,86
6354,68
6355,86
6357,86
6359,86
6360,86
6365,86
6370,86
6371,86
6372,86
6373,68
6374,68
6375,86
6376,86
6377,68
6378,86
6379,86
6380,86
6382,86
6383,86
6384,68
6384,86
6385,86
6387,68
6388,86
6389,86
6390,86
6401,80
6403,80
6404,86
6405,80
6408,80
6409,68
6410,80
6411,80
6412,68
6413,68
6414,68
6415,68
6415,86
6416,68
6417,68
6418,80
6419,68
6420,68
6420,86
6422,68
6423,68
6424,68
6426,68
6437,80
6438,68
6439,86
6440,86
6441,68
6442,68
6443,80
6444,80
6447,80
6450,80
6451,80
6455,68
6456,68
6457,68
6459,68
6460,80
6461,80
6467,80
6468,86
6469,68
6470,86
6471,80
6472,80
6473,80
6474,86
6475,68
6477,80
6478,80
6479,80
6480,68
6481,68
6482,86
6483,80
6484,86
6487,80
6488,80
6489,80
6491,86
6492,80
6493,80
6494,80
6495,80
6498,68
6501,80
6502,80
6503,80
6504,80
6505,80
6506,80
6507,80
6508,80
6509,80
6510,80
6511,80
6512,80
6513,80
6514,68
6514,80
6515,80
6516,80
6517,80
6518,80
6519,80
6520,80
6521,80
6524,80
6525,80
6530,80
6531,80
6532,80
6533,80
6534,80
6535,80
6536,80
6537,80
6538,80
6540,80
6601,86
6602,86
6604,86
6605,86
6606,86
6607,86
6608,86
6610,86
6611,86
6612,86
6614,86
6615,86
6673,86
6699,86
6701,80
6702,80
6703,80
6704,80
6705,80
6706,80
6708,80
6710,80
6712,80
6716,80
6720,80
6721,80
6722,80
6723,80
6724,80
6725,80
6726,80
6750,68
6751,68
6752,68
6753,68
6754,68
6755,68
6756,68
6757,68
6758,68
6759,68
6762,80
6763,68
6770,80
6776,68
6777,68
6778,68
6779,68
6781,68
6782,68
6783,68
6784,68
6784,86
6785,68
6786,68
6787,68
6790,68
6791,68
6792,68
6793,68
6794,68
6795,68
6796,68
6798,68
6801,86
6804,86
6807,86
6810,86
6811,86
6812,86
6813,86
6820,86
6824,86
6825,86
6828,86
6829,86
6830,86
6831,86
6836,86
6838,86
6840,86
6850,86
6851,86
6852,86
6853,86
6854,86
6855,86
6856,86
6857,86
6858,86
6860,86
6870,86
6875,86
6876,86
6877,86
6878,86
6879,86
6880,86
6881,86
6883,86
6888,86
6889,86
6890,86
6896,86
6897,86
6901,86
6902,86
6903,86
6904,86
6905,86
6906,86
6907,86
6910,86
6911,86
6912,86
6913,86
6914,86
6926,86
6927,86
7001,80
7002,86
7003,86
7004,86
7005,80
7006,86
7007,86
7008,80
7009,86
7010,86
7011,86
7012,86
7013,86
7014,86
7015,86
7016,80
7017,86
7018,86
7019,86
7020,86
7021,86
7022,86
7023,80
7024,86
7026,86
7027,80
7028,86
7029,86
7030,86
7031,86
7032,86
7033,80
7034,80
7035,80
7036,80
7039,86
7040,86
7041,86
7042,86
7043,86
7044,86
7045,80
7046,80
7047,86
7050,86
7051,86
7052,86
7054,80
7055,86
7057,86
7058,80
7059,80
7060,80
7061,80
7062,80
7063,80
7064,80
7065,80
7066,80
7067,80
7068,86
7069,80
7070,86
7071,86
7072,86
7073,86
7074,86
7075,86
7076,80
7077,80
7078,86
7079,86
7080,80
7081,80
7082,80
7083,80
7086,86
7087,86
7088,80
7090,80
7091,80
7092,80
7093,86
7094,86
7095,80
7096,86
7097,86
7099,86
7101,86
7102,86
7103,86
7104,86
7105,86
7106,86
7107,86
7108,86
7109,86
7110,86
7111,86
7112,86
7114,86
7175,86
7184,86
7188,86
7189,86
7191,86
7192,86
7193,86
7195,86
7198,86
7199,86
7201,80
7202,80
7203,80
7204,80
7205,80
7206,80
7207,80
7208,80
7302,86
7303,86
7304,86
7305,86
7306,86
7307,86
7308,86
7310,86
7311,86
7395,86
7399,86
7401,86
7403,86
7405,80
7407,86
7410,86
7416,68
7417,86
7418,68
7419,68
7420,86
7421,68
7421,86
7422,68
7423,86
7424,86
7428,68
7430,86
7432,86
7435,86
7435,80
7436,86
7438,86
7438,80
7439,68
7440,80
7442,86
7444,80
7446,86
7450,86
7451,86
7452,86
7456,86
7457,80
7458,86
7460,68
7460,86
7460,80
7461,68
7462,68
7463,86
7465,86
7470,86
7474,86
7480,86
7481,86
7495,86
7501,86
7502,86
7503,86
7504,86
7505,86
7506,86
7507,86
7508,86
7509,86
7510,86
7511,86
7512,86
7513,86
7514,86
7522,86
7524,86
7533,86
7538,86
7543,86
7544,86
7601,86
7602,86
7603,86
7604,86
7605,86
7606,86
7607,86
7608,86
7620,86
7621,86
7624,86
7626,86
7627,86
7628,86
7630,86
7631,86
7632,86
7640,86
7641,86
7642,86
7643,86
7644,86
7645,86
7646,86
7647,86
7648,86
7649,86
7650,86
7652,86
7653,86
7656,86
7657,86
7660,86
7661,86
7662,86
7663,86
7666,86
7670,86
7675,86
7676,86
7677,86
7699,86
7701,86
7702,86
7703,86
7704,86
7710,86
7711,86
7712,86
7715,86
7716,86
7717,86
7718,86
7719,86
7720,86
7721,86
7722,86
7723,86
7723,74
7724,86
7726,86
7726,80
7727,86
7728,86
7728,74
7730,86
7731,86
7732,86
7733,86
7734,86
7735,86
7735,80
7737,86
7738,86
7739,86
7740,86
7746,86
7747,86
7747,80
7748,86
7750,86
7751,86
7752,86
7753,86
7754,86
7755,86
7756,86
7757,86
7758,86
7760,86
7762,86
7763,86
7764,86
7765,86
7799,86
7801,80
7802,80
7803,80
7806,80
7820,68
7821,68
7822,68
7823,68
7825,68
7826,68
7827,68
7828,80
7830,80
7831,68
7832,68
7833,68
7834,80
7836,80
7837,68
7838,68
7839,68
7840,68
7840,80
7842,80
7843,68
7844,68
7845,80
7846,68
7847,80
7848,68
7849,80
7850,80
7851,68
7852,80
7853,80
7855,68
7856,80
7857,80
7860,68
7863,68
7865,68
7866,80
7869,80
7870,80
7871,68
7874,68
7875,68
7876,80
7877,68
7878,80
7879,68
7880,68
7881,68
7882,68
7885,80
7890,68
7901,80
7902,80
7920,80
7921,80
7922,80
7924,80
7926,80
7927,80
7928,80
7930,80
7931,80
7932,80
7933,80
7934,80
7935,80
7936,80
7938,80
7939,80
7940,80
7945,80
7946,80
7950,80
7960,80
7961,80
7962,80
7963,80
7970,80
7974,80
7976,80
7977,80
7978,80
7979,80
7980,80
7981,80
7999,80
8001,68
8002,80
8003,80
8004,80
8005,74
8006,74
8007,80
8008,74
8009,80
8010,80
8011,80
8012,68
8012,80
8014,68
8015,80
8016,80
8018,80
8019,80
8020,68
8021,80
8022,80
8023,68
8025,68
8026,80
8027,68
8028,68
8029,80
8030,80
8031,80
8032,68
8033,80
8034,80
8035,80
8036,80
8037,68
8037,80
8038,68
8039,68
8041,80
8042,80
8043,80
8045,80
8046,80
8048,80
8049,80
8050,74
8051,68
8052,80
8053,80
8054,80
8055,80
8056,68
8057,80
8059,80
8060,80
8061,68
8062,68
8063,68
8064,80
8065,80
8066,68
8067,68
8068,80
8069,68
8070,68
8071,68
8072,68
8073,80
8074,68
8075,80
8076,80
8077,80
8078,80
8079,68
8080,68
8081,68
8081,80
8083,80
8084,80
8085,68
8086,68
8087,80
8087,74
8088,68
8088,80
8089,80
8090,68
